"","primary.id","X.1","participant.id","pymk.order","familiarity","mutual.friends","poster.pymk.caste.ra","poster.pymk.religion.ra","poster.pymk.gender","pymk.ra.notes","RA_id","date","study_start","study_end","subject_caste_RA","subject_religion_RA","subject_gender_RA","total_friends","Participant.State.of.Origin","Smartphone..y.n.","Notes","X","religion.in.group","gender.in.group","friend_rank","pct_friend_rank","new.rank","m.fam","sd.fam","norm.fam","pymk.order.round","norm.pctle","norm.decile","norm.quartile"
"1",1117,1,1117,36,1,1,"","hindu","female","Raj","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,52,52,37,4.51666666666667,2.56767167938336,-1.36959358741349,3,0.014427494945782,0,1
"2",1117,2,1117,2,7,18,"","hindu","female","Nag","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,30,30,3,4.51666666666667,2.56767167938336,0.967153765519478,0,0.787998529682044,0.7,4
"3",1117,3,1117,1,7,0,"","hindu","female","Mahato","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,59,59,2,4.51666666666667,2.56767167938336,0.967153765519478,0,0.787998529682044,0.7,4
"4",1117,4,1117,6,5,2,"","hindu","female","Nanda","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,45,45,7,4.51666666666667,2.56767167938336,0.188237981208489,0,0.61532806469399,0.6,3
"5",1117,5,1117,7,7,84,"","hindu","female","SInha","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,2,2,8,4.51666666666667,2.56767167938336,0.967153765519478,0,0.787998529682044,0.7,4
"6",1117,6,1117,5,6,5,"","other","female","Singh","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,37,37,6,4.51666666666667,2.56767167938336,0.577695873363983,0,0.691049439441279,0.6,3
"7",1117,7,1117,0,3,4,"","hindu","female","Prakash","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,38,38,1,4.51666666666667,2.56767167938336,-0.5906778031025,0,0.411137658518655,0.4,2
"8",1117,8,1117,11,7,26,"","hindu","female","Ray","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,26,26,12,4.51666666666667,2.56767167938336,0.967153765519478,1,0.787998529682044,0.7,4
"9",1117,9,1117,37,2,27,"","hindu","female","Srivastava","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,25,25,38,4.51666666666667,2.56767167938336,-0.980135695257994,3,0.112938798015071,0.1,1
"10",1117,10,1117,38,3,59,"","hindu","female","Kumari","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,5,5,39,4.51666666666667,2.56767167938336,-0.5906778031025,3,0.411137658518655,0.4,2
"11",1117,11,1117,39,7,49,"","","female","Seraphim","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,13,13,40,4.51666666666667,2.56767167938336,0.967153765519478,3,0.787998529682044,0.7,4
"12",1117,12,1117,40,1,3,"","hindu","male","Khandelwal","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,FALSE,40,40,41,4.51666666666667,2.56767167938336,-1.36959358741349,4,0.014427494945782,0,1
"13",1117,13,1117,3,7,23,"","hindu","female","Roy","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,27,27,4,4.51666666666667,2.56767167938336,0.967153765519478,0,0.787998529682044,0.7,4
"14",1117,14,1117,4,6,17,"","hindu","female","Kedia","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,32,32,5,4.51666666666667,2.56767167938336,0.577695873363983,0,0.691049439441279,0.6,3
"15",1117,15,1117,29,7,40,"","muslim","female","Fatima","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,17,17,30,4.51666666666667,2.56767167938336,0.967153765519478,2,0.787998529682044,0.7,4
"16",1117,16,1117,30,3,3,"","hindu","female","Kumari","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,41,41,31,4.51666666666667,2.56767167938336,-0.5906778031025,3,0.411137658518655,0.4,2
"17",1117,17,1117,31,7,3,"","other","female","Kaur","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,42,42,32,4.51666666666667,2.56767167938336,0.967153765519478,3,0.787998529682044,0.7,4
"18",1117,18,1117,8,6,19,"","hindu","female","Nupur","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,28,28,9,4.51666666666667,2.56767167938336,0.577695873363983,0,0.691049439441279,0.6,3
"19",1117,19,1117,9,2,2,"","hindu","female","Roy","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,46,46,10,4.51666666666667,2.56767167938336,-0.980135695257994,0,0.112938798015071,0.1,1
"20",1117,20,1117,10,6,3,"","hindu","female","Sen","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,43,43,11,4.51666666666667,2.56767167938336,0.577695873363983,1,0.691049439441279,0.6,3
"21",1117,21,1117,35,6,48,"","other","female","Kaur Majithia","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,14,14,36,4.51666666666667,2.56767167938336,0.577695873363983,3,0.691049439441279,0.6,3
"22",1117,22,1117,49,1,19,"","hindu","female","Rajgariah","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,29,29,50,4.51666666666667,2.56767167938336,-1.36959358741349,4,0.014427494945782,0,1
"23",1117,23,1117,50,1,1,"","","female","Barla","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,53,53,51,4.51666666666667,2.56767167938336,-1.36959358741349,5,0.014427494945782,0,1
"24",1117,24,1117,51,1,1,"","other","female","Singh","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,54,54,52,4.51666666666667,2.56767167938336,-1.36959358741349,5,0.014427494945782,0,1
"25",1117,25,1117,12,6,46,"","other","female","Singh","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,15,15,13,4.51666666666667,2.56767167938336,0.577695873363983,1,0.691049439441279,0.6,3
"26",1117,26,1117,13,7,57,"","other","female","SIngh","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,7,7,14,4.51666666666667,2.56767167938336,0.967153765519478,1,0.787998529682044,0.7,4
"27",1117,27,1117,41,1,2,"","hindu","female","Bhagat","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,47,47,42,4.51666666666667,2.56767167938336,-1.36959358741349,4,0.014427494945782,0,1
"28",1117,28,1117,42,7,53,"","","female","Kataruka","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,11,11,43,4.51666666666667,2.56767167938336,0.967153765519478,4,0.787998529682044,0.7,4
"29",1117,29,1117,43,7,9,"","hindu","female","Kumari","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,35,35,44,4.51666666666667,2.56767167938336,0.967153765519478,4,0.787998529682044,0.7,4
"30",1117,30,1117,44,7,57,"","hindu","female","Sukhija","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,8,8,45,4.51666666666667,2.56767167938336,0.967153765519478,4,0.787998529682044,0.7,4
"31",1117,31,1117,32,7,31,"","hindu","female","Vashisth","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,22,22,33,4.51666666666667,2.56767167938336,0.967153765519478,3,0.787998529682044,0.7,4
"32",1117,32,1117,33,1,1,"","hindu","female","Mahato","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,55,55,34,4.51666666666667,2.56767167938336,-1.36959358741349,3,0.014427494945782,0,1
"33",1117,33,1117,34,5,56,"","","female","Ghakar","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,9,9,35,4.51666666666667,2.56767167938336,0.188237981208489,3,0.61532806469399,0.6,3
