"","primary.id","X.1","nf.order","preference","post.tenure","tenure.units","human","nf.group","event","poster.nf.caste.ra","poster.nf.religion.ra","poster.nf.gender","nf.ra.notes","RA_id","date","study_start","study_end","subject_caste_RA","subject_religion_RA","subject_gender_RA","total_friends","Participant.State.of.Origin","Smartphone..y.n.","Notes","X","religion.in.group","gender.in.group","complete_time_rank","time_rank","m.pref","count","sd.pref","norm.pref","norm.pref.round","nf.order.round","norm.pctle","norm.decile","norm.quartile","norm.sextile","norm.pctle2","norm.quartile2","dedupid","is.a.7","is.a.6","is.a.5","is.a.4","is.a.3","is.a.2","is.a.1","new.rank","chron_group"
"1",1117,1,1,5,30,"mins",1,0,0,"","","female","Nischal","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,6,3,2.85714285714286,35,1.98735498387499,1.07824578912367,1.1,0,0.85303839308416,0.9,4,6,0.914285714285714,4,1117,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,0
"2",1117,2,0,2,1,"days",1,0,0,"","hindu","male","Mahato","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,FALSE,23,13,2.85714285714286,35,1.98735498387499,-0.431298315649467,-0.4,0,0.363335875921688,0.4,2,3,0.6,3,1117,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1
"3",1117,3,5,5,1,"days",1,0,0,"","hindu","female","Tripathy","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,24,14,2.85714285714286,35,1.98735498387499,1.07824578912367,1.1,0,0.85303839308416,0.9,4,6,0.914285714285714,4,1117,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,1
"4",1117,7,13,7,10,"hours",1,1,0,"","muslim","male","Khan","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,FALSE,15,7,2.85714285714286,35,1.98735498387499,2.08460852563909,2.1,1,0.991355199593186,1,4,6,1,4,1117,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0
"5",1117,8,14,2,4,"days",1,0,0,"","hindu","male","Mahato","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,FALSE,54,33,2.85714285714286,35,1.98735498387499,-0.431298315649467,-0.4,1,0.363335875921688,0.4,2,3,0.6,3,1117,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,3
"6",1117,9,15,1,3,"days",1,0,0,"","","male","no last name","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,FALSE,48,29,2.85714285714286,35,1.98735498387499,-0.934479683907178,-0.9,1,0.204424103737605,0.3,1,2,0.371428571428571,2,1117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,11,2
"7",1117,10,16,1,1,"days",1,0,0,"","other","female","Singh","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,TRUE,25,15,2.85714285714286,35,1.98735498387499,-0.934479683907178,-0.9,1,0.204424103737605,0.3,1,2,0.371428571428571,2,1117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,1
"8",1117,11,17,2,2,"days",1,0,0,"","hindu","male","Mahato","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,FALSE,38,22,2.85714285714286,35,1.98735498387499,-0.431298315649467,-0.4,1,0.363335875921688,0.4,2,3,0.6,3,1117,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,13,2
"9",1117,13,6,2,1,"days",1,0,0,"","hindu","male","Kumar","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,FALSE,26,16,2.85714285714286,35,1.98735498387499,-0.431298315649467,-0.4,0,0.363335875921688,0.4,2,3,0.6,3,1117,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1
"10",1117,14,7,5,1,"days",1,0,0,"","hindu","female","Ranaut- suggested for you","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,27,17,2.85714285714286,35,1.98735498387499,1.07824578912367,1.1,0,0.85303839308416,0.9,4,6,0.914285714285714,4,1117,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,1
"11",1117,15,8,1,10,"hours",1,0,0,"","hindu","female","Verma","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,16,8,2.85714285714286,35,1.98735498387499,-0.934479683907178,-0.9,0,0.204424103737605,0.3,1,2,0.371428571428571,2,1117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,0
"12",1117,16,9,1,11,"hours",1,1,0,"","hindu","female","Verma","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,18,10,2.85714285714286,35,1.98735498387499,-0.934479683907178,-0.9,0,0.204424103737605,0.3,1,2,0.371428571428571,2,1117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,1
"13",1117,17,10,5,17,"hours",1,0,0,"","hindu","male","Yadav","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,FALSE,19,11,2.85714285714286,35,1.98735498387499,1.07824578912367,1.1,1,0.85303839308416,0.9,4,6,0.914285714285714,4,1117,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,1
"14",1117,20,39,4,1,"days",1,0,0,"","other","male","Singh Singha","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",FALSE,FALSE,28,18,2.85714285714286,35,1.98735498387499,0.575064420865955,0.6,3,0.660055936943809,0.7,3,4,0.685714285714286,3,1117,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,25,1
"15",1117,21,40,2,2,"days",1,0,0,"","hindu","male","Pasawn","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,FALSE,39,23,2.85714285714286,35,1.98735498387499,-0.431298315649467,-0.4,4,0.363335875921688,0.4,2,3,0.6,3,1117,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,26,2
"16",1117,23,42,1,3,"hours",1,0,0,"","hindu","male","Gupta","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,FALSE,12,5,2.85714285714286,35,1.98735498387499,-0.934479683907178,-0.9,4,0.204424103737605,0.3,1,2,0.371428571428571,2,1117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,27,0
"17",1117,24,43,1,2,"days",1,0,0,"","hindu","female","Lall","MJ","9/2","11:39","12:07","","hindu","female",950,"Jharkhand",1,"Kumari","",TRUE,TRUE,40,24,2.85714285714286,35,1.98735498387499,-0.934479683907178,-0.9,4,0.204424103737605,0.3,1,2,0.371428571428571,2,1117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,28,2
